bowler,matches,total_wickets,total_runs_conceded,balls_bowled,economy_rate,bowling_average,strike_rate,powerplay_wickets,death_overs_wickets,fantasy_points
DR Smith,18,27,0,27,0.0,0.0,1.0,5.0,4.0,708
DS Kulkarni,56,91,2,91,0.1318681318681318,0.0219780219780219,1.0,46.0,20.0,2330
DT Christian,26,36,1,36,0.1666666666666666,0.0277777777777777,1.0,7.0,9.0,937
DW Steyn,55,97,1,97,0.0618556701030927,0.0103092783505154,1.0,34.0,42.0,2482
FA Allen,2,2,0,2,0.0,0.0,1.0,1.0,0.0,60
FH Edwards,4,6,0,6,0.0,0.0,1.0,4.0,2.0,177
FY Fazal,1,1,1,1,6.0,1.0,1.0,0.0,0.0,25
Fazalhaq Farooqi,4,6,0,6,0.0,0.0,1.0,3.0,1.0,177
G Coetzee,7,13,0,13,0.0,0.0,1.0,3.0,6.0,354
GB Hogg,15,25,0,25,0.0,0.0,1.0,5.0,6.0,658
GC Viljoen,5,8,0,8,0.0,0.0,1.0,3.0,1.0,227
GD McGrath,9,14,0,14,0.0,0.0,1.0,9.0,2.0,379
GD Phillips,2,2,0,2,0.0,0.0,1.0,1.0,0.0,60
GH Vihari,1,1,0,1,0.0,0.0,1.0,1.0,0.0,35
GHS Garton,3,3,0,3,0.0,0.0,1.0,1.0,1.0,90
GJ Maxwell,31,41,1,41,0.1463414634146341,0.024390243902439,1.0,10.0,3.0,1062
GR Napier,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
GS Sandhu,1,1,0,1,0.0,0.0,1.0,0.0,1.0,35
Gagandeep Singh,3,3,0,3,0.0,0.0,1.0,0.0,1.0,90
Gurkeerat Singh,3,5,0,5,0.0,0.0,1.0,0.0,0.0,150
HF Gurney,5,7,0,7,0.0,0.0,1.0,2.0,3.0,202
HH Pandya,45,70,4,70,0.3428571428571428,0.0571428571428571,1.0,13.0,22.0,1797
HR Shokeen,3,5,0,5,0.0,0.0,1.0,2.0,0.0,150
HV Patel,80,149,6,149,0.2416107382550335,0.0402684563758389,1.0,12.0,74.0,3798
Harbhajan Singh,90,154,7,154,0.2727272727272727,0.0454545454545454,1.0,29.0,20.0,3925
Harmeet Singh,15,25,2,25,0.48,0.08,1.0,6.0,6.0,658
Harpreet Brar,15,25,0,25,0.0,0.0,1.0,0.0,3.0,658
Harshit Rana,15,27,1,27,0.2222222222222222,0.037037037037037,1.0,10.0,6.0,708
I Sharma,60,90,1,90,0.0666666666666666,0.0111111111111111,1.0,55.0,19.0,2305
I Udana,6,8,0,8,0.0,0.0,1.0,2.0,2.0,227
IC Pandey,14,18,0,18,0.0,0.0,1.0,11.0,1.0,481
IC Porel,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
IK Pathan,59,93,10,93,0.6451612903225806,0.1075268817204301,1.0,29.0,39.0,2380
IS Sodhi,7,9,0,9,0.0,0.0,1.0,2.0,0.0,252
Imran Tahir,44,86,2,86,0.1395348837209302,0.0232558139534883,1.0,3.0,23.0,2203
Iqbal Abdulla,23,40,0,40,0.0,0.0,1.0,13.0,4.0,1037
J Botha,16,22,0,22,0.0,0.0,1.0,2.0,7.0,581
J Little,7,13,1,13,0.4615384615384615,0.0769230769230769,1.0,3.0,2.0,354
J Suchith,16,20,0,20,0.0,0.0,1.0,3.0,1.0,531
J Syed Mohammad,6,9,1,9,0.6666666666666666,0.1111111111111111,1.0,1.0,0.0,252
J Theron,7,11,0,11,0.0,0.0,1.0,2.0,4.0,302
J Yadav,8,9,0,9,0.0,0.0,1.0,4.0,0.0,252
JA Morkel,56,91,4,91,0.2637362637362637,0.0439560439560439,1.0,33.0,35.0,2330
JA Richardson,2,3,0,3,0.0,0.0,1.0,0.0,1.0,90
JC Archer,29,49,0,49,0.0,0.0,1.0,17.0,20.0,1266
JD Ryder,3,5,0,5,0.0,0.0,1.0,0.0,0.0,150
JD Unadkat,60,105,5,105,0.2857142857142857,0.0476190476190476,1.0,21.0,50.0,2684
JDP Oram,6,12,2,12,1.0,0.1666666666666666,1.0,3.0,8.0,329
JDS Neesham,5,8,0,8,0.0,0.0,1.0,1.0,0.0,227
JEC Franklin,6,8,0,8,0.0,0.0,1.0,1.0,1.0,227
JH Kallis,43,68,2,68,0.1764705882352941,0.0294117647058823,1.0,19.0,22.0,1747
JJ Bumrah,90,182,4,182,0.1318681318681318,0.0219780219780219,1.0,39.0,89.0,4635
JJ van der Wath,2,3,0,3,0.0,0.0,1.0,0.0,2.0,90
JL Pattinson,6,11,0,11,0.0,0.0,1.0,4.0,3.0,302
JM Kemp,1,3,0,3,0.0,0.0,1.0,0.0,0.0,90
JO Holder,29,59,2,59,0.2033898305084746,0.0338983050847457,1.0,12.0,24.0,1518
JP Behrendorff,12,22,1,22,0.2727272727272727,0.0454545454545454,1.0,11.0,8.0,581
JP Duminy,16,22,0,22,0.0,0.0,1.0,3.0,3.0,581
