bowler,matches,total_wickets,total_runs_conceded,balls_bowled,economy_rate,bowling_average,strike_rate,powerplay_wickets,death_overs_wickets,Powerplay_Wicket_Percentage,DeathOver_Wicket_Percentage,Control
D Kalyankrishna,2,2,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
D Pretorius,4,7,0,7,0.0,0.0,1.0,0.0,2.0,0.0,0.2857142857142857,
D Salunkhe,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
D Wiese,9,17,0,17,0.0,0.0,1.0,6.0,8.0,0.35294117647058826,0.47058823529411764,
D du Preez,2,4,0,4,0.0,0.0,1.0,3.0,0.0,0.75,0.0,
DAJ Bracewell,1,3,0,3,0.0,0.0,1.0,0.0,2.0,0.0,0.6666666666666666,
DB Ravi Teja,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
DE Bollinger,16,33,2,33,0.3636363636363636,0.0606060606060606,1.0,9.0,20.0,0.2727272727272727,0.6060606060606061,0.16666666666666669
DG Nalkande,4,6,0,6,0.0,0.0,1.0,0.0,1.0,0.0,0.16666666666666666,
DJ Bravo,114,201,10,201,0.2985074626865672,0.0497512437810945,1.0,13.0,111.0,0.06467661691542288,0.5522388059701493,0.16666666666666657
DJ Hooda,9,10,1,10,0.6000000000000001,0.1,1.0,2.0,1.0,0.2,0.1,0.16666666666666666
DJ Hussey,7,10,0,10,0.0,0.0,1.0,0.0,2.0,0.0,0.2,
DJ Mitchell,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
DJ Muthuswami,3,4,0,4,0.0,0.0,1.0,3.0,1.0,0.75,0.25,
DJ Thornely,2,3,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
DJ Willey,5,7,0,7,0.0,0.0,1.0,3.0,2.0,0.42857142857142855,0.2857142857142857,
DJG Sammy,6,14,2,14,0.8571428571428571,0.1428571428571428,1.0,1.0,4.0,0.07142857142857142,0.2857142857142857,0.1666666666666666
DJM Short,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
DL Chahar,47,79,0,79,0.0,0.0,1.0,60.0,12.0,0.759493670886076,0.1518987341772152,
DL Vettori,18,29,2,29,0.4137931034482758,0.0689655172413793,1.0,1.0,6.0,0.034482758620689655,0.20689655172413793,0.16666666666666666
