batter,matches,total_runs,balls_faced,fours,sixes,dismissals,strike_rate,batting_average,powerplay_runs,death_overs_runs
Tanush Kotian,1,24,31,3,0,1,77.41935483870968,24.0,18.0,0.0
Tilak Varma,38,1154,774,90,58,27,149.09560723514213,42.74074074074074,109.0,191.0
U Kaul,1,0,1,0,0,0,0.0,0.0,0.0,0.0
UBT Chand,19,283,273,30,9,19,103.66300366300368,14.894736842105264,116.0,7.0
UT Khawaja,6,127,98,14,3,5,129.59183673469389,25.4,107.0,0.0
UT Yadav,45,200,189,16,9,20,105.82010582010581,10.0,0.0,176.0
Umar Gul,4,39,17,1,5,3,229.41176470588235,13.0,0.0,21.0
Umran Malik,4,17,14,1,1,1,121.42857142857142,17.0,0.0,17.0
V Kohli,237,7817,5844,691,267,212,133.76112251882273,36.87264150943396,2777.0,1069.0
V Pratap Singh,1,0,1,0,0,1,0.0,0.0,0.0,0.0
V Sehwag,97,2398,1500,298,90,91,159.86666666666667,26.35164835164835,1466.0,23.0
V Shankar,58,1110,841,79,45,43,131.98573127229488,25.813953488372093,104.0,390.0
V Viyaskanth,1,7,5,0,0,0,140.0,inf,0.0,7.0
VG Arora,7,9,16,0,0,2,56.25,4.5,0.0,9.0
VH Zol,2,29,26,3,1,2,111.53846153846155,14.5,22.0,0.0
VR Aaron,12,49,71,2,2,4,69.01408450704226,12.25,0.0,48.0
VR Iyer,49,1320,949,121,60,43,139.09378292939937,30.697674418604652,592.0,65.0
VRV Singh,2,4,2,1,0,1,200.0,4.0,0.0,4.0
VS Malik,2,7,6,1,0,1,116.66666666666667,7.0,0.0,7.0
VS Yeligati,1,2,2,0,0,1,100.0,2.0,0.0,2.0
VVS Laxman,17,238,222,30,3,14,107.2072072072072,17.0,156.0,2.0
VY Mahesh,4,15,26,0,0,2,57.692307692307686,7.5,0.0,12.0
Vijaykumar Vyshak,4,14,12,0,1,2,116.66666666666667,7.0,0.0,14.0
Virat Singh,2,15,25,1,0,3,60.0,5.0,0.0,0.0
Vishnu Vinod,6,55,55,3,3,6,100.0,9.166666666666666,10.0,8.0
Vivrant Sharma,1,69,45,9,2,1,153.33333333333334,69.0,27.0,0.0
W Jaffer,8,130,120,14,3,7,108.33333333333333,18.571428571428573,77.0,0.0
WA Mota,8,56,73,2,0,5,76.71232876712328,11.2,0.0,13.0
WD Parnell,2,4,7,0,0,2,57.14285714285714,2.0,0.0,4.0
WG Jacks,8,224,127,16,17,6,176.3779527559055,37.333333333333336,73.0,0.0
WP Saha,141,2870,2197,293,83,117,130.63268092853892,24.52991452991453,1372.0,421.0
