batter,batting_pressure_rating,bowling_pressure_rating,overall_pressure_rating
CA Ingram,27.53694581280788,0.0,27.53694581280788
CA Lynn,21.98275862068966,0.0,21.98275862068966
CA Pujara,24.52107279693486,0.0,24.52107279693486
CH Gayle,39.383861368807985,24.301801801801798,39.383861368807985
CH Morris,38.143105568986726,65.33363872346922,65.33363872346922
CJ Anderson,33.60949395432154,39.18418418418418,39.18418418418418
0,0.0,50.0,50.0
CJ Jordan,24.66393921683226,39.01276276276276,39.01276276276276
0,0.0,50.0,50.0
CK Kapugedera,13.186462324393357,50.0,50.0
CK Langeveldt,6.704980842911876,39.85735735735736,39.85735735735736
CL White,33.37528316133904,0.0,33.37528316133904
CM Gautam,22.14334009465855,0.0,22.14334009465855
CR Brathwaite,36.26660695626212,44.36936936936937,44.36936936936937
CR Woakes,21.31327953044754,44.75675675675676,44.75675675675676
CRD Fernando,22.79693486590038,40.772200772200776,40.772200772200776
CV Varun,11.405835543766578,29.298048048048045,29.298048048048045
0,0.0,47.11711711711712,47.11711711711712
D Ferreira,11.149425287356323,0.0,11.149425287356323
0,0.0,33.78378378378379,33.78378378378379
D Kalyankrishna,6.824712643678161,0.0,6.824712643678161
D Padikkal,27.687033676144384,0.0,27.687033676144384
D Pretorius,27.48171368861024,9.789789789789792,27.48171368861024
D Salunkhe,25.08451656524679,0.0,25.08451656524679
D Wiese,28.679757343550445,46.38138138138138,46.38138138138138
D du Preez,10.574712643678161,50.0,50.0
DA Miller,48.42463520013043,0.0,48.42463520013043
DA Warner,38.884650595056456,0.0,38.884650595056456
DAJ Bracewell,22.222222222222218,47.567567567567565,47.567567567567565
DB Das,25.454208379681123,0.0,25.454208379681123
DB Ravi Teja,29.828987945051868,0.0,29.828987945051868
DE Bollinger,15.792103948025986,49.45345345345345,49.45345345345345
DG Nalkande,0.5747126436781609,36.00600600600601,36.00600600600601
DH Yagnik,23.320382062489887,0.0,23.320382062489887
DJ Bravo,49.03464166534245,88.6986986986987,88.6986986986987
0,0.0,50.0,50.0
DJ Hooda,38.321640045777976,36.00600600600601,38.321640045777976
DJ Hussey,35.98003629764065,29.789789789789786,35.98003629764065
DJ Mitchell,21.579532814238043,0.0,21.579532814238043
DJ Muthuswami,6.130268199233715,43.78378378378379,43.78378378378379
DJ Willey,20.588235294117645,36.45645645645646,36.45645645645646
DJG Sammy,29.733817301875373,44.02402402402402,44.02402402402402
DL Chahar,14.042978510744625,41.146146146146144,41.146146146146144
DL Vettori,20.33181522446324,37.51751751751752,37.51751751751752
DM Bravo,20.0,0.0,20.0
DNT Zoysa,21.408045977011497,28.22822822822823,28.22822822822823
DP Conway,27.12096332785988,0.0,27.12096332785988
DP Nannes,3.9080459770114944,47.97376323692113,47.97376323692113
DP Vijaykumar,16.666666666666664,16.006006006006007,16.666666666666664
DPMD Jayawardene,34.2747337987448,0.0,34.2747337987448
DR Martyn,22.79693486590038,0.0,22.79693486590038
DR Sams,22.298850574712645,23.67867867867868,23.67867867867868
DR Smith,31.213613972234665,40.13513513513513,40.13513513513513
DS Kulkarni,20.863266283524904,43.34234234234235,43.34234234234235
DT Christian,33.50374231488907,33.9305972639306,33.9305972639306
