bowler,matches,total_wickets,total_runs_conceded,balls_bowled,economy_rate,bowling_average,strike_rate,powerplay_wickets,death_overs_wickets
SB Jakati,28,48,1,48,0.125,0.020833333333333332,1.0,1.0,5.0
SB Joshi,1,1,0,1,0.0,0.0,1.0,0.0,0.0
SB Styris,5,9,0,9,0.0,0.0,1.0,1.0,3.0
SB Wagh,1,1,0,1,0.0,0.0,1.0,1.0,0.0
SC Ganguly,5,9,1,9,0.6666666666666666,0.1111111111111111,1.0,0.0,0.0
SC Kuggeleijn,1,2,0,2,0.0,0.0,1.0,0.0,2.0
SD Chitnis,1,2,0,2,0.0,0.0,1.0,0.0,1.0
SE Bond,6,9,0,9,0.0,0.0,1.0,4.0,2.0
SE Rutherford,1,1,0,1,0.0,0.0,1.0,0.0,0.0
SH Johnson,3,4,0,4,0.0,0.0,1.0,1.0,2.0
SJ Srivastava,8,11,0,11,0.0,0.0,1.0,5.0,1.0
SK Raina,23,30,2,30,0.4,0.06666666666666667,1.0,2.0,8.0
SK Trivedi,39,63,1,63,0.09523809523809523,0.015873015873015872,1.0,7.0,13.0
SK Warne,35,56,2,56,0.21428571428571427,0.03571428571428571,1.0,1.0,9.0
SL Malinga,87,174,9,174,0.3103448275862069,0.05172413793103448,1.0,38.0,97.0
SM Boland,1,3,1,3,2.0,0.3333333333333333,1.0,1.0,2.0
SM Curran,36,62,2,62,0.1935483870967742,0.03225806451612903,1.0,12.0,36.0
SM Harwood,2,3,0,3,0.0,0.0,1.0,1.0,1.0
SM Pollock,8,13,1,13,0.46153846153846156,0.07692307692307693,1.0,9.0,0.0
SMSM Senanayake,6,8,0,8,0.0,0.0,1.0,3.0,1.0
SN Thakur,58,100,1,100,0.06,0.01,1.0,23.0,42.0
SP Narine,116,195,7,195,0.21538461538461537,0.035897435897435895,1.0,28.0,65.0
SR Watson,60,103,7,103,0.4077669902912621,0.06796116504854369,1.0,34.0,46.0
SS Agarwal,1,1,0,1,0.0,0.0,1.0,0.0,0.0
SS Cottrell,4,6,0,6,0.0,0.0,1.0,4.0,2.0
SS Sarkar,1,1,0,1,0.0,0.0,1.0,0.0,1.0
SSB Magala,1,1,0,1,0.0,0.0,1.0,0.0,0.0
ST Jayasuriya,8,16,1,16,0.375,0.0625,1.0,0.0,3.0
STR Binny,21,27,1,27,0.2222222222222222,0.037037037037037035,1.0,8.0,3.0
SW Tait,11,22,1,22,0.2727272727272727,0.045454545454545456,1.0,6.0,12.0
Sachin Baby,2,3,0,3,0.0,0.0,1.0,0.0,2.0
Sandeep Sharma,90,153,6,153,0.23529411764705882,0.0392156862745098,1.0,63.0,54.0
Shahbaz Ahmed,14,21,0,21,0.0,0.0,1.0,2.0,4.0
Shahid Afridi,5,9,0,9,0.0,0.0,1.0,1.0,2.0
Shakib Al Hasan,43,64,3,64,0.28125,0.046875,1.0,19.0,10.0
Shashank Singh,1,1,0,1,0.0,0.0,1.0,0.0,0.0
Shivam Mavi,24,33,2,33,0.36363636363636365,0.06060606060606061,1.0,9.0,15.0
Shivam Sharma,3,4,0,4,0.0,0.0,1.0,0.0,0.0
Shoaib Ahmed,3,5,0,5,0.0,0.0,1.0,1.0,0.0
Shoaib Akhtar,2,5,0,5,0.0,0.0,1.0,5.0,0.0
Shoaib Malik,2,2,0,2,0.0,0.0,1.0,0.0,0.0
Sikandar Raza,3,3,0,3,0.0,0.0,1.0,0.0,0.0
Simarjeet Singh,6,10,1,10,0.6000000000000001,0.1,1.0,3.0,1.0
Sohail Tanvir,8,24,1,24,0.25,0.041666666666666664,1.0,6.0,18.0
Suyash Sharma,6,11,1,11,0.5454545454545454,0.09090909090909091,1.0,3.0,1.0
Swapnil Singh,5,7,0,7,0.0,0.0,1.0,5.0,0.0
T Henderson,1,1,0,1,0.0,0.0,1.0,0.0,0.0
T Natarajan,45,76,3,76,0.23684210526315788,0.039473684210526314,1.0,17.0,43.0
T Shamsi,3,3,0,3,0.0,0.0,1.0,0.0,0.0
T Stubbs,3,4,1,4,1.5,0.25,1.0,0.0,0.0
T Thushara,5,10,1,10,0.6000000000000001,0.1,1.0,3.0,6.0
TA Boult,81,128,2,128,0.09375,0.015625,1.0,63.0,47.0
TG Southee,29,56,4,56,0.42857142857142855,0.07142857142857142,1.0,21.0,24.0
TK Curran,9,13,0,13,0.0,0.0,1.0,1.0,7.0
TL Suman,4,6,1,6,1.0,0.16666666666666666,1.0,0.0,2.0
TM Dilshan,4,4,0,4,0.0,0.0,1.0,0.0,0.0
TM Head,2,3,1,3,2.0,0.3333333333333333,1.0,0.0,1.0
TP Sudhindra,1,1,0,1,0.0,0.0,1.0,0.0,0.0
TS Mills,7,11,0,11,0.0,0.0,1.0,6.0,4.0
TU Deshpande,24,46,2,46,0.2608695652173913,0.043478260869565216,1.0,15.0,21.0
UT Yadav,88,160,10,160,0.375,0.0625,1.0,60.0,54.0
Umar Gul,6,14,1,14,0.42857142857142855,0.07142857142857142,1.0,5.0,5.0
Umran Malik,16,31,0,31,0.0,0.0,1.0,0.0,5.0
V Kaverappa,1,2,0,2,0.0,0.0,1.0,2.0,0.0
V Kohli,3,4,1,4,1.5,0.25,1.0,0.0,1.0
V Pratap Singh,7,10,0,10,0.0,0.0,1.0,3.0,4.0
V Sehwag,5,6,0,6,0.0,0.0,1.0,0.0,1.0
V Shankar,11,12,1,12,0.5,0.08333333333333333,1.0,0.0,2.0
V Viyaskanth,1,1,0,1,0.0,0.0,1.0,0.0,0.0
VG Arora,12,20,1,20,0.30000000000000004,0.05,1.0,12.0,6.0
VR Aaron,27,46,1,46,0.13043478260869565,0.021739130434782608,1.0,15.0,13.0
VR Iyer,2,3,0,3,0.0,0.0,1.0,0.0,1.0
VRV Singh,10,16,3,16,1.125,0.1875,1.0,1.0,11.0
VS Malik,5,6,0,6,0.0,0.0,1.0,4.0,0.0
VY Mahesh,11,21,1,21,0.2857142857142857,0.047619047619047616,1.0,4.0,10.0
Vijaykumar Vyshak,9,17,0,17,0.0,0.0,1.0,2.0,4.0
WA Mota,4,4,0,4,0.0,0.0,1.0,0.0,0.0
WD Parnell,10,16,1,16,0.375,0.0625,1.0,8.0,6.0
WG Jacks,2,2,0,2,0.0,0.0,1.0,1.0,0.0
WPUJC Vaas,11,22,0,22,0.0,0.0,1.0,17.0,4.0
Washington Sundar,26,39,0,39,0.0,0.0,1.0,14.0,1.0
Y Nagar,3,4,0,4,0.0,0.0,1.0,0.0,0.0
Y Prithvi Raj,1,1,0,1,0.0,0.0,1.0,0.0,0.0
Y Venugopal Rao,5,7,0,7,0.0,0.0,1.0,1.0,1.0
YA Abdulla,6,15,0,15,0.0,0.0,1.0,7.0,6.0
YK Pathan,27,38,3,38,0.47368421052631576,0.07894736842105263,1.0,14.0,3.0
YS Chahal,122,213,5,213,0.1408450704225352,0.023474178403755867,1.0,18.0,34.0
Yash Dayal,19,31,3,31,0.5806451612903225,0.0967741935483871,1.0,13.0,11.0
Yash Thakur,14,27,2,27,0.4444444444444444,0.07407407407407407,1.0,7.0,15.0
Yudhvir Singh,3,4,0,4,0.0,0.0,1.0,3.0,0.0
Yuvraj Singh,13,24,1,24,0.25,0.041666666666666664,1.0,0.0,4.0
Z Khan,65,113,6,113,0.3185840707964602,0.05309734513274336,1.0,56.0,39.0
