bowler,matches,total_wickets,total_runs_conceded,balls_bowled,economy_rate,bowling_average,strike_rate,powerplay_wickets,death_overs_wickets
AU Rashid,1,2,0,2,0.0,0.0,1.0,0.0,0.0
Abdul Samad,2,2,0,2,0.0,0.0,1.0,0.0,0.0
Abhishek Sharma,8,11,0,11,0.0,0.0,1.0,0.0,0.0
Akash Deep,5,8,0,8,0.0,0.0,1.0,3.0,1.0
Akash Madhwal,8,22,1,22,0.2727272727272727,0.045454545454545456,1.0,5.0,8.0
Akash Singh,4,5,0,5,0.0,0.0,1.0,3.0,1.0
Anand Rajan,7,10,1,10,0.6000000000000001,0.1,1.0,0.0,5.0
Ankit Sharma,8,10,0,10,0.0,0.0,1.0,4.0,0.0
Ankit Soni,2,4,0,4,0.0,0.0,1.0,1.0,0.0
Anureet Singh,13,21,2,21,0.5714285714285714,0.09523809523809523,1.0,7.0,10.0
Arjun Tendulkar,3,4,1,4,1.5,0.25,1.0,1.0,2.0
Arshad Khan,4,6,0,6,0.0,0.0,1.0,2.0,2.0
Arshdeep Singh,49,84,3,84,0.21428571428571427,0.03571428571428571,1.0,29.0,41.0
Avesh Khan,44,81,6,81,0.4444444444444444,0.07407407407407407,1.0,21.0,33.0
Azhar Mahmood,12,26,1,26,0.23076923076923078,0.038461538461538464,1.0,5.0,13.0
Azmatullah Omarzai,3,4,0,4,0.0,0.0,1.0,3.0,0.0
B Akhil,5,7,1,7,0.8571428571428571,0.14285714285714285,1.0,0.0,1.0
B Geeves,2,2,0,2,0.0,0.0,1.0,1.0,0.0
B Kumar,99,170,3,170,0.10588235294117647,0.01764705882352941,1.0,65.0,87.0
B Laughlin,6,10,0,10,0.0,0.0,1.0,3.0,3.0
B Lee,22,29,1,29,0.20689655172413793,0.034482758620689655,1.0,12.0,12.0
B Stanlake,4,7,0,7,0.0,0.0,1.0,2.0,0.0
BA Bhatt,6,12,0,12,0.0,0.0,1.0,3.0,2.0
BA Stokes,19,31,0,31,0.0,0.0,1.0,9.0,12.0
BAW Mendis,5,7,0,7,0.0,0.0,1.0,0.0,1.0
BB Sran,15,20,0,20,0.0,0.0,1.0,6.0,7.0
BCJ Cutting,9,12,0,12,0.0,0.0,1.0,0.0,2.0
BE Hendricks,6,11,0,11,0.0,0.0,1.0,1.0,7.0
BJ Hodge,8,10,0,10,0.0,0.0,1.0,0.0,0.0
BMAJ Mendis,1,1,0,1,0.0,0.0,1.0,0.0,0.0
BW Hilfenhaus,16,23,0,23,0.0,0.0,1.0,13.0,6.0
Basil Thampi,15,26,2,26,0.46153846153846156,0.07692307692307693,1.0,2.0,16.0
Bipul Sharma,15,20,2,20,0.6000000000000001,0.1,1.0,5.0,0.0
C Green,14,20,2,20,0.6000000000000001,0.1,1.0,3.0,2.0
C Nanda,2,2,0,2,0.0,0.0,1.0,0.0,0.0
C Sakariya,13,20,0,20,0.0,0.0,1.0,6.0,8.0
C de Grandhomme,5,7,1,7,0.8571428571428571,0.14285714285714285,1.0,0.0,0.0
CH Gayle,9,13,0,13,0.0,0.0,1.0,3.0,4.0
CH Morris,55,103,6,103,0.34951456310679613,0.05825242718446602,1.0,24.0,59.0
CJ Anderson,11,14,2,14,0.8571428571428571,0.14285714285714285,1.0,2.0,6.0
CJ Jordan,21,36,5,36,0.8333333333333334,0.1388888888888889,1.0,6.0,16.0
CJ McKay,1,1,0,1,0.0,0.0,1.0,0.0,0.0
