batsman,bowler,balls_faced,runs_scored,dismissals,strike_rate,avg_dismissal_type,bowler_type
AB de Villiers,DL Chahar,17,10,1,58.82352941176471,caught,Unknown
AB de Villiers,DP Nannes,7,14,1,200.0,caught,Unknown
AB de Villiers,DR Sams,5,9,0,180.0,,Unknown
AB de Villiers,DR Smith,16,30,1,187.5,caught,Unknown
AB de Villiers,DS Kulkarni,38,50,1,131.57894736842107,caught,Unknown
AB de Villiers,DT Christian,6,2,0,33.33333333333333,,Unknown
AB de Villiers,DW Steyn,23,55,2,239.1304347826087,"caught, run out",Unknown
AB de Villiers,GB Hogg,9,11,0,122.22222222222223,,Unknown
AB de Villiers,GC Viljoen,12,22,0,183.33333333333331,,Unknown
AB de Villiers,GJ Maxwell,10,15,0,150.0,,Unknown
AB de Villiers,HH Pandya,39,88,0,225.64102564102564,,Unknown
AB de Villiers,HV Patel,23,53,0,230.43478260869566,,Unknown
AB de Villiers,Harbhajan Singh,81,110,3,135.80246913580248,"caught, stumped",Unknown
AB de Villiers,Harmeet Singh,19,26,0,136.8421052631579,,Unknown
AB de Villiers,Harpreet Brar,6,1,1,16.666666666666664,caught,Unknown
AB de Villiers,I Sharma,34,37,0,108.8235294117647,,Unknown
AB de Villiers,IC Pandey,17,23,1,135.29411764705884,caught,Unknown
AB de Villiers,IK Pathan,44,67,0,152.27272727272728,,Unknown
AB de Villiers,IS Sodhi,12,22,0,183.33333333333331,,Unknown
AB de Villiers,Imran Tahir,41,58,3,141.46341463414635,"stumped, caught, run out",Unknown
AB de Villiers,Iqbal Abdulla,6,7,0,116.66666666666667,,Unknown
AB de Villiers,J Botha,8,10,0,125.0,,Unknown
AB de Villiers,J Suchith,11,25,0,227.27272727272728,,Unknown
AB de Villiers,JA Morkel,29,36,3,124.13793103448276,"bowled, caught",Unknown
AB de Villiers,JC Archer,13,30,0,230.76923076923075,,Unknown
AB de Villiers,JD Unadkat,26,45,0,173.0769230769231,,Unknown
AB de Villiers,JEC Franklin,4,7,0,175.0,,Unknown
AB de Villiers,JH Kallis,42,36,1,85.71428571428571,caught,Unknown
AB de Villiers,JJ Bumrah,90,131,3,145.55555555555554,"bowled, caught",Unknown
AB de Villiers,JL Pattinson,6,13,0,216.66666666666666,,Unknown
AB de Villiers,JO Holder,10,7,0,70.0,,Unknown
AB de Villiers,JP Behrendorff,3,3,0,100.0,,Unknown
AB de Villiers,JP Duminy,16,15,0,93.75,,Unknown
AB de Villiers,JP Faulkner,30,62,1,206.66666666666669,caught,Unknown
AB de Villiers,JR Hazlewood,2,2,0,100.0,,Unknown
AB de Villiers,Joginder Sharma,7,6,0,85.71428571428571,,Unknown
AB de Villiers,K Gowtham,1,1,0,100.0,,Unknown
AB de Villiers,K Rabada,24,42,1,175.0,caught,Unknown
AB de Villiers,KA Pollard,22,23,3,104.54545454545455,"caught and bowled, caught",Unknown
AB de Villiers,KC Cariappa,11,22,1,200.0,stumped,Unknown
AB de Villiers,KH Pandya,49,51,4,104.08163265306123,"stumped, caught",Unknown
AB de Villiers,KJ Abbott,2,0,1,0.0,bowled,Unknown
AB de Villiers,KK Ahmed,1,1,0,100.0,,Unknown
AB de Villiers,KK Cooper,8,17,0,212.5,,Unknown
AB de Villiers,KL Nagarkoti,8,20,0,250.0,,Unknown
AB de Villiers,KP Appanna,8,9,1,112.5,bowled,Unknown
AB de Villiers,KV Sharma,29,29,0,100.0,,Unknown
AB de Villiers,KW Richardson,6,14,1,233.33333333333334,bowled,Unknown
AB de Villiers,Kamran Khan,6,4,0,66.66666666666666,,Unknown
AB de Villiers,Karanveer Singh,7,21,0,300.0,,Unknown
AB de Villiers,Kartik Tyagi,8,7,0,87.5,,Unknown
AB de Villiers,Kuldeep Yadav,12,22,0,183.33333333333331,,Unknown
AB de Villiers,L Ablish,3,2,0,66.66666666666666,,Unknown
AB de Villiers,L Balaji,29,42,3,144.82758620689654,"bowled, caught",Unknown
AB de Villiers,LH Ferguson,4,7,1,175.0,caught,Unknown
AB de Villiers,M Ashwin,31,55,1,177.41935483870967,caught,Unknown
AB de Villiers,M Jansen,5,3,1,60.0,run out,Unknown
AB de Villiers,M Kartik,14,12,0,85.71428571428571,,Unknown
AB de Villiers,M Markande,8,8,0,100.0,,Unknown
AB de Villiers,M Morkel,17,22,0,129.41176470588235,,Unknown
AB de Villiers,M Muralitharan,16,21,0,131.25,,Unknown
AB de Villiers,M Ntini,3,3,0,100.0,,Unknown
AB de Villiers,M Prasidh Krishna,15,29,0,193.33333333333334,,Unknown
AB de Villiers,MC Henriques,37,57,1,154.05405405405406,caught,Unknown
AB de Villiers,MG Johnson,18,24,0,133.33333333333331,,Unknown
AB de Villiers,MG Neser,10,28,0,280.0,,Unknown
AB de Villiers,MJ McClenaghan,25,55,1,220.00000000000003,caught,Unknown
AB de Villiers,MJ Santner,9,9,0,100.0,,Unknown
AB de Villiers,MM Patel,28,37,0,132.14285714285714,,Unknown
AB de Villiers,MM Sharma,28,69,1,246.42857142857144,caught,Unknown
AB de Villiers,MP Stoinis,22,48,0,218.18181818181816,,Unknown
AB de Villiers,MS Gony,24,40,1,166.66666666666669,caught,Unknown
AB de Villiers,Mohammad Nabi,2,1,1,50.0,bowled,Unknown
AB de Villiers,Mohammed Shami,30,59,1,196.66666666666666,caught,Unknown
AB de Villiers,Monu Kumar,4,8,0,200.0,,Unknown
AB de Villiers,Mujeeb Ur Rahman,7,15,0,214.28571428571428,,Unknown
AB de Villiers,Mustafizur Rahman,12,7,1,58.333333333333336,caught,Unknown
AB de Villiers,N Rana,6,12,1,200.0,caught,Unknown
AB de Villiers,NLTC Perera,6,6,1,100.0,caught,Unknown
AB de Villiers,NM Coulter-Nile,2,4,1,200.0,caught,Unknown
AB de Villiers,P Awana,11,19,1,172.72727272727272,bowled,Unknown
AB de Villiers,P Kumar,26,52,0,200.0,,Unknown
AB de Villiers,P Negi,10,13,0,130.0,,Unknown
AB de Villiers,PC Valthaty,10,14,0,140.0,,Unknown
AB de Villiers,PJ Cummins,12,23,0,191.66666666666669,,Unknown
AB de Villiers,PJ Sangwan,4,6,0,150.0,,Unknown
AB de Villiers,PP Chawla,52,53,4,101.92307692307692,"caught, lbw, bowled",Unknown
AB de Villiers,PP Ojha,33,39,1,118.18181818181819,run out,Unknown
AB de Villiers,PV Tambe,32,54,1,168.75,caught,Unknown
AB de Villiers,Pankaj Singh,5,3,0,60.0,,Unknown
AB de Villiers,Parvez Rasool,2,1,0,50.0,,Unknown
AB de Villiers,R Ashwin,61,69,2,113.11475409836065,"caught, stumped",Unknown
AB de Villiers,R Bhatia,27,36,0,133.33333333333331,,Unknown
AB de Villiers,R Dhawan,6,8,1,133.33333333333331,caught,Unknown
AB de Villiers,R McLaren,3,7,0,233.33333333333334,,Unknown
AB de Villiers,R Parag,1,4,0,400.0,,Unknown
AB de Villiers,R Sharma,3,2,1,66.66666666666666,bowled,Unknown
