batter,matches,total_runs,balls_faced,fours,sixes,dismissals,strike_rate,batting_average,powerplay_runs,death_overs_runs,StrikeRate_Powerplay,StrikeRate_DeathOvers,Boundary_Percentage,Impact
AD Mathews,23,423,320,34,15,16,132.1875,26.4375,9.0,243.0,2.8125,75.9375,53.42789598108747,34.9470703125
AD Nath,10,90,98,7,2,10,91.83673469387756,9.0,11.0,16.0,11.224489795918368,16.3265306122449,44.44444444444444,8.265306122448981
AD Russell,104,2465,1392,168,208,84,177.08333333333331,29.34523809523809,41.0,1050.0,2.9454022988505746,75.43103448275862,77.89046653144015,51.96552579365078
AF Milne,6,23,29,0,1,5,79.3103448275862,4.6,0.0,15.0,0.0,51.724137931034484,26.08695652173913,3.648275862068965
AG Murtaza,1,2,5,0,0,0,40.0,inf,0.0,2.0,0.0,40.0,0.0,inf
AG Paunikar,5,48,54,9,0,5,88.88888888888889,9.6,48.0,0.0,88.88888888888889,0.0,75.0,8.533333333333333
AJ Finch,75,1603,1234,159,59,69,129.902755267423,23.231884057971016,666.0,182.0,53.970826580226905,14.748784440842789,61.75920149719276,30.178857491837547
AJ Hosein,1,16,10,1,1,0,160.0,inf,0.0,16.0,0.0,160.0,62.5,inf
AJ Turner,6,24,27,0,2,5,88.88888888888889,4.8,0.0,4.0,0.0,14.814814814814813,50.0,4.266666666666667
AJ Tye,13,91,70,6,5,8,130.0,11.375,0.0,54.0,0.0,77.14285714285715,59.34065934065934,14.7875
AK Markram,42,995,762,73,35,33,130.57742782152232,30.151515151515152,100.0,173.0,13.123359580052494,22.703412073490814,50.45226130653266,39.37107293406506
AL Menaria,20,317,282,20,13,18,112.41134751773048,17.61111111111111,2.0,73.0,0.7092198581560284,25.886524822695034,49.8422712933754,19.796887312844756
AM Nayar,39,563,438,45,20,30,128.53881278538813,18.766666666666666,48.0,199.0,10.95890410958904,45.4337899543379,53.285968028419184,24.122450532724507
AM Rahane,165,4459,3555,460,101,151,125.42897327707452,29.52980132450331,2262.0,355.0,63.628691983122366,9.985935302390999,54.855348732899756,37.03892661208445
AN Ahmed,6,36,25,4,1,1,144.0,36.0,0.0,36.0,0.0,144.0,61.111111111111114,51.84
AN Ghosh,2,7,8,1,0,2,87.5,3.5,7.0,0.0,87.5,0.0,57.14285714285714,3.0625
AP Dole,2,34,22,3,1,2,154.54545454545453,17.0,0.0,32.0,0.0,145.45454545454547,52.94117647058824,26.27272727272727
AP Tare,27,339,267,40,11,24,126.96629213483146,14.125,226.0,34.0,84.6441947565543,12.734082397003746,66.66666666666666,17.933988764044944
AR Bawne,1,12,12,1,0,0,100.0,inf,0.0,12.0,0.0,100.0,33.33333333333333,inf
AR Patel,112,1643,1240,107,78,78,132.5,21.06410256410257,32.0,750.0,2.5806451612903225,60.483870967741936,54.53438831405965,27.909935897435904
AS Joseph,5,27,31,3,0,1,87.09677419354838,27.0,0.0,16.0,0.0,51.61290322580645,44.44444444444444,23.516129032258064
AS Rajpoot,7,26,40,2,1,4,65.0,6.5,0.0,25.0,0.0,62.5,53.84615384615385,4.225
AS Raut,16,194,167,13,7,11,116.1676646706587,17.636363636363637,7.0,107.0,4.191616766467066,64.07185628742515,48.45360824742268,20.4877517691889
AS Roy,6,26,23,3,0,3,113.04347826086956,8.666666666666666,4.0,22.0,17.391304347826086,95.65217391304348,46.15384615384615,9.797101449275361
AS Yadav,6,49,37,5,2,7,132.43243243243242,7.0,0.0,39.0,0.0,105.40540540540539,65.3061224489796,9.27027027027027
AT Carey,3,32,27,0,1,2,118.5185185185185,16.0,0.0,31.0,0.0,114.81481481481481,18.75,18.962962962962962
AT Rayudu,179,4180,3222,347,166,146,129.73308504034762,28.63013698630137,742.0,860.0,23.02917442582247,26.691495965238982,57.0334928229665,37.14275996360637
AU Rashid,2,21,15,2,1,2,140.0,10.5,0.0,4.0,0.0,26.666666666666668,66.66666666666666,14.7
AUK Pathan,6,27,19,2,2,5,142.10526315789474,5.4,14.0,2.0,73.68421052631578,10.526315789473683,74.07407407407408,7.673684210526317
Abdul Basith,1,1,1,0,0,0,100.0,inf,0.0,1.0,0.0,100.0,0.0,inf
Abdul Samad,39,574,388,36,36,32,147.93814432989691,17.9375,2.0,329.0,0.5154639175257731,84.79381443298969,62.7177700348432,26.536404639175256
Abdur Razzak,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Abhishek Sharma,61,1369,871,128,72,55,157.1756601607348,24.89090909090909,750.0,128.0,86.10792192881746,14.695752009184845,68.95544192841491,39.122450683644715
Abishek Porel,16,359,234,37,15,15,153.41880341880344,23.933333333333334,141.0,48.0,60.256410256410255,20.51282051282051,66.29526462395543,36.71823361823362
Akash Deep,3,19,12,2,1,2,158.33333333333331,9.5,0.0,10.0,0.0,83.33333333333334,73.68421052631578,15.041666666666664
Akash Madhwal,1,4,4,0,0,0,100.0,inf,0.0,4.0,0.0,100.0,0.0,inf
Aman Hakim Khan,10,115,102,8,6,9,112.74509803921568,12.77777777777778,4.0,40.0,3.9215686274509802,39.21568627450981,59.130434782608695,14.406318082788673
Anirudh Singh,4,63,66,6,1,4,95.45454545454544,15.75,18.0,9.0,27.27272727272727,13.636363636363635,47.61904761904761,15.034090909090908
Ankit Sharma,10,87,67,7,4,7,129.8507462686567,12.428571428571429,27.0,31.0,40.298507462686565,46.26865671641791,59.77011494252874,16.13859275053305
Ankit Soni,3,7,7,0,1,2,100.0,3.5,0.0,7.0,0.0,100.0,85.71428571428571,3.5
Anmolpreet Singh,9,139,115,19,3,9,120.8695652173913,15.444444444444445,116.0,0.0,100.8695652173913,0.0,67.62589928057554,18.667632850241546
